"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/25/2023","AQS","260650018","1","0.4","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/26/2023","AQS","260650018","1","0.4","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/27/2023","AQS","260650018","1","0.5","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/28/2023","AQS","260650018","1","0.6","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/29/2023","AQS","260650018","1","0.5","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/30/2023","AQS","260650018","1","0.5","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/31/2023","AQS","260650018","1","0.6","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/01/2023","AQS","260650018","1","1.2","ppb","1","LANSING / FILLEY STREET","21","88.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/02/2023","AQS","260650018","1","1.4","ppb","1","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/03/2023","AQS","260650018","1","0.7","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
