"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/27/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"01/28/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"01/29/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"01/30/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"01/31/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/01/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/02/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/03/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/04/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/05/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/06/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/07/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/08/2023","AQS","260810020","1","0.9","ppm","10","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/09/2023","AQS","260810020","1","0.6","ppm","7","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/10/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/11/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/12/2023","AQS","260810020","1","0.5","ppm","6","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/13/2023","AQS","260810020","1","0.5","ppm","6","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/14/2023","AQS","260810020","1","0.8","ppm","9","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/15/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/16/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/17/2023","AQS","260810020","1","0.2","ppm","2","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/18/2023","AQS","260810020","1","0.5","ppm","6","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/19/2023","AQS","260810020","1","0.5","ppm","6","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/20/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/21/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/22/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/23/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/24/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
