Date,Site ID,Local Site Name,AQS Parameter Description,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name_ozone,AQS Parameter Description_ozone,Daily Max 8-hour Ozone Concentration,Units_ozone,Daily AQI Value_ozone,Local Site Name_so2,AQS Parameter Description_so2,Daily Max 1-hour SO2 Concentration,Units_so2,Daily AQI Value_so2,Local Site Name_no2,AQS Parameter Description_no2,Daily Max 1-hour NO2 Concentration,Units_no2,Daily AQI Value_no2,Local Site Name_co,Site Latitude,Site Longitude,AQS Parameter Description_co,Daily Max 8-hour CO Concentration,Units_co,Daily AQI Value_co,Local Site Name_pm10,AQS Parameter Description_pm10,Daily Mean PM10 Concentration,Units_pm10,Daily AQI Value_pm10,Local Site Name_pb,AQS Parameter Description_pb,Daily Mean Pb Concentration,Units_pb,Daily AQI Value_pb
02/06/2023,260050003,Holland,PM2.5 - Local Conditions,4.5,ug/m3 LC,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2023,260050003,Holland,PM2.5 - Local Conditions,6.7,ug/m3 LC,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/08/2023,260050003,Holland,PM2.5 - Local Conditions,7.6,ug/m3 LC,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/09/2023,260050003,Holland,PM2.5 - Local Conditions,7.1,ug/m3 LC,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/10/2023,260050003,Holland,PM2.5 - Local Conditions,2.9,ug/m3 LC,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/11/2023,260050003,Holland,PM2.5 - Local Conditions,2.9,ug/m3 LC,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/12/2023,260050003,Holland,PM2.5 - Local Conditions,4.6,ug/m3 LC,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/13/2023,260050003,Holland,PM2.5 - Local Conditions,7.2,ug/m3 LC,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/14/2023,260050003,Holland,PM2.5 - Local Conditions,6.8,ug/m3 LC,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/15/2023,260050003,Holland,PM2.5 - Local Conditions,1.6,ug/m3 LC,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/16/2023,260050003,Holland,PM2.5 - Local Conditions,0.8,ug/m3 LC,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/17/2023,260050003,Holland,PM2.5 - Local Conditions,1.3,ug/m3 LC,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/18/2023,260050003,Holland,PM2.5 - Local Conditions,3.5,ug/m3 LC,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/19/2023,260050003,Holland,PM2.5 - Local Conditions,3.6,ug/m3 LC,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/20/2023,260050003,Holland,PM2.5 - Local Conditions,5.5,ug/m3 LC,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/21/2023,260050003,Holland,PM2.5 - Local Conditions,4.9,ug/m3 LC,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/22/2023,260050003,Holland,PM2.5 - Local Conditions,3.7,ug/m3 LC,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/23/2023,260050003,Holland,PM2.5 - Local Conditions,2.7,ug/m3 LC,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/24/2023,260050003,Holland,PM2.5 - Local Conditions,1.8,ug/m3 LC,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/25/2023,260050003,Holland,PM2.5 - Local Conditions,7.1,ug/m3 LC,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/26/2023,260050003,Holland,PM2.5 - Local Conditions,4.3,ug/m3 LC,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/27/2023,260050003,Holland,PM2.5 - Local Conditions,3.0,ug/m3 LC,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2023,260050003,Holland,PM2.5 - Local Conditions,3.2,ug/m3 LC,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023,260050003,Holland,PM2.5 - Local Conditions,6.9,ug/m3 LC,38,Holland,Ozone,0.037,ppm,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/02/2023,260050003,Holland,PM2.5 - Local Conditions,3.5,ug/m3 LC,19,Holland,Ozone,0.041,ppm,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/03/2023,260050003,Holland,PM2.5 - Local Conditions,9.1,ug/m3 LC,51,Holland,Ozone,0.04,ppm,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2023,260050003,Holland,PM2.5 - Local Conditions,7.9,ug/m3 LC,44,Holland,Ozone,0.039,ppm,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
