Date,Site ID,Local Site Name,AQS Parameter Description,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name_ozone,AQS Parameter Description_ozone,Daily Max 8-hour Ozone Concentration,Units_ozone,Daily AQI Value_ozone,Local Site Name_so2,AQS Parameter Description_so2,Daily Max 1-hour SO2 Concentration,Units_so2,Daily AQI Value_so2,Local Site Name_no2,AQS Parameter Description_no2,Daily Max 1-hour NO2 Concentration,Units_no2,Daily AQI Value_no2,Local Site Name_co,Site Latitude,Site Longitude,AQS Parameter Description_co,Daily Max 8-hour CO Concentration,Units_co,Daily AQI Value_co,Local Site Name_pm10,AQS Parameter Description_pm10,Daily Mean PM10 Concentration,Units_pm10,Daily AQI Value_pm10,Local Site Name_pb,AQS Parameter Description_pb,Daily Mean Pb Concentration,Units_pb,Daily AQI Value_pb
03/26/2023,261390005,Jenison,PM2.5 - Local Conditions,8.6,ug/m3 LC,48,Jenison,Ozone,0.045,ppm,42.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,13.0,ug/m3 SC,12.0,,,,,
03/27/2023,261390005,Jenison,PM2.5 - Local Conditions,6.0,ug/m3 LC,33,Jenison,Ozone,0.046,ppm,43.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,10.0,ug/m3 SC,9.0,,,,,
03/28/2023,261390005,Jenison,PM2.5 - Local Conditions,9.8,ug/m3 LC,52,Jenison,Ozone,0.05,ppm,46.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,15.0,ug/m3 SC,14.0,,,,,
03/29/2023,261390005,Jenison,PM2.5 - Local Conditions,8.3,ug/m3 LC,46,Jenison,Ozone,0.045,ppm,42.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,14.0,ug/m3 SC,13.0,,,,,
03/30/2023,261390005,Jenison,PM2.5 - Local Conditions,8.0,ug/m3 LC,44,Jenison,Ozone,0.043,ppm,40.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,15.0,ug/m3 SC,14.0,,,,,
03/31/2023,261390005,Jenison,PM2.5 - Local Conditions,13.2,ug/m3 LC,59,Jenison,Ozone,0.037,ppm,34.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,19.0,ug/m3 SC,18.0,,,,,
04/01/2023,261390005,Jenison,PM2.5 - Local Conditions,5.2,ug/m3 LC,29,Jenison,Ozone,0.041,ppm,38.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,8.0,ug/m3 SC,7.0,,,,,
04/02/2023,261390005,Jenison,PM2.5 - Local Conditions,5.6,ug/m3 LC,31,Jenison,Ozone,0.042,ppm,39.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,10.0,ug/m3 SC,9.0,,,,,
04/03/2023,261390005,Jenison,PM2.5 - Local Conditions,5.4,ug/m3 LC,30,Jenison,Ozone,0.038,ppm,35.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,11.0,ug/m3 SC,10.0,,,,,
04/04/2023,261390005,Jenison,PM2.5 - Local Conditions,6.5,ug/m3 LC,36,Jenison,Ozone,0.034,ppm,31.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,10.0,ug/m3 SC,9.0,,,,,
04/05/2023,261390005,Jenison,PM2.5 - Local Conditions,8.5,ug/m3 LC,47,Jenison,Ozone,0.04,ppm,37.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,14.0,ug/m3 SC,13.0,,,,,
04/06/2023,261390005,Jenison,PM2.5 - Local Conditions,5.5,ug/m3 LC,31,Jenison,Ozone,0.044,ppm,41.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,10.0,ug/m3 SC,9.0,,,,,
04/07/2023,261390005,Jenison,PM2.5 - Local Conditions,5.1,ug/m3 LC,28,Jenison,Ozone,0.044,ppm,41.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,11.0,ug/m3 SC,10.0,,,,,
04/08/2023,261390005,Jenison,PM2.5 - Local Conditions,13.0,ug/m3 LC,58,Jenison,Ozone,0.049,ppm,45.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,23.0,ug/m3 SC,21.0,,,,,
04/09/2023,261390005,Jenison,PM2.5 - Local Conditions,19.3,ug/m3 LC,70,Jenison,Ozone,0.058,ppm,61.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,33.0,ug/m3 SC,31.0,,,,,
04/10/2023,261390005,Jenison,PM2.5 - Local Conditions,13.5,ug/m3 LC,59,Jenison,Ozone,0.059,ppm,64.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,28.0,ug/m3 SC,26.0,,,,,
04/11/2023,261390005,Jenison,PM2.5 - Local Conditions,11.3,ug/m3 LC,55,Jenison,Ozone,0.058,ppm,61.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,29.0,ug/m3 SC,27.0,,,,,
04/12/2023,261390005,Jenison,PM2.5 - Local Conditions,11.3,ug/m3 LC,55,Jenison,Ozone,0.06,ppm,67.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,33.0,ug/m3 SC,31.0,,,,,
04/13/2023,261390005,Jenison,PM2.5 - Local Conditions,12.5,ug/m3 LC,57,Jenison,Ozone,0.057,ppm,58.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,33.0,ug/m3 SC,31.0,,,,,
04/14/2023,261390005,Jenison,PM2.5 - Local Conditions,20.5,ug/m3 LC,72,Jenison,Ozone,0.065,ppm,84.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,46.0,ug/m3 SC,43.0,,,,,
04/15/2023,261390005,Jenison,PM2.5 - Local Conditions,19.8,ug/m3 LC,71,Jenison,Ozone,0.053,ppm,49.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,40.0,ug/m3 SC,37.0,,,,,
04/16/2023,261390005,Jenison,PM2.5 - Local Conditions,5.6,ug/m3 LC,31,Jenison,Ozone,0.031,ppm,29.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,11.0,ug/m3 SC,10.0,,,,,
04/17/2023,261390005,Jenison,PM2.5 - Local Conditions,1.3,ug/m3 LC,7,Jenison,Ozone,0.038,ppm,35.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,2.0,ug/m3 SC,2.0,,,,,
04/18/2023,261390005,Jenison,PM2.5 - Local Conditions,3.5,ug/m3 LC,19,Jenison,Ozone,0.047,ppm,44.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,6.0,ug/m3 SC,6.0,,,,,
04/19/2023,261390005,Jenison,PM2.5 - Local Conditions,8.0,ug/m3 LC,44,Jenison,Ozone,0.042,ppm,39.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,15.0,ug/m3 SC,14.0,,,,,
04/20/2023,261390005,Jenison,PM2.5 - Local Conditions,12.2,ug/m3 LC,57,Jenison,Ozone,0.045,ppm,42.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,22.0,ug/m3 SC,20.0,,,,,
04/21/2023,261390005,Jenison,PM2.5 - Local Conditions,5.4,ug/m3 LC,30,Jenison,Ozone,0.042,ppm,39.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,10.0,ug/m3 SC,9.0,,,,,
04/22/2023,261390005,Jenison,PM2.5 - Local Conditions,4.5,ug/m3 LC,25,Jenison,Ozone,0.041,ppm,38.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,8.0,ug/m3 SC,7.0,,,,,
04/23/2023,261390005,Jenison,PM2.5 - Local Conditions,2.2,ug/m3 LC,12,Jenison,Ozone,0.036,ppm,33.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,3.0,ug/m3 SC,3.0,,,,,
04/24/2023,261390005,Jenison,PM2.5 - Local Conditions,6.8,ug/m3 LC,38,Jenison,Ozone,0.046,ppm,43.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,12.0,ug/m3 SC,11.0,,,,,
04/25/2023,261390005,Jenison,PM2.5 - Local Conditions,7.8,ug/m3 LC,43,Jenison,Ozone,0.041,ppm,38.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,12.0,ug/m3 SC,11.0,,,,,
04/26/2023,261390005,Jenison,PM2.5 - Local Conditions,5.2,ug/m3 LC,29,Jenison,Ozone,0.036,ppm,33.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,11.0,ug/m3 SC,10.0,,,,,
04/27/2023,261390005,Jenison,PM2.5 - Local Conditions,10.1,ug/m3 LC,53,Jenison,Ozone,0.052,ppm,48.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,22.0,ug/m3 SC,20.0,,,,,
04/28/2023,261390005,Jenison,PM2.5 - Local Conditions,12.2,ug/m3 LC,57,Jenison,Ozone,0.043,ppm,40.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,23.0,ug/m3 SC,21.0,,,,,
04/29/2023,261390005,Jenison,PM2.5 - Local Conditions,11.4,ug/m3 LC,55,Jenison,Ozone,0.049,ppm,45.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,16.0,ug/m3 SC,15.0,,,,,
04/30/2023,261390005,Jenison,PM2.5 - Local Conditions,2.2,ug/m3 LC,12,Jenison,Ozone,0.032,ppm,30.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,3.0,ug/m3 SC,3.0,,,,,
05/01/2023,261390005,Jenison,PM2.5 - Local Conditions,1.5,ug/m3 LC,8,Jenison,Ozone,0.031,ppm,29.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,2.0,ug/m3 SC,2.0,,,,,
05/02/2023,261390005,Jenison,PM2.5 - Local Conditions,0.7,ug/m3 LC,4,Jenison,Ozone,0.032,ppm,30.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,2.0,ug/m3 SC,2.0,,,,,
05/03/2023,261390005,Jenison,PM2.5 - Local Conditions,3.3,ug/m3 LC,18,Jenison,Ozone,0.03,ppm,28.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,6.0,ug/m3 SC,6.0,,,,,
05/04/2023,261390005,Jenison,PM2.5 - Local Conditions,5.8,ug/m3 LC,32,Jenison,Ozone,0.045,ppm,42.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,12.0,ug/m3 SC,11.0,,,,,
05/05/2023,261390005,Jenison,PM2.5 - Local Conditions,5.3,ug/m3 LC,29,Jenison,Ozone,0.053,ppm,49.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,18.0,ug/m3 SC,17.0,,,,,
05/06/2023,261390005,Jenison,PM2.5 - Local Conditions,5.9,ug/m3 LC,33,Jenison,Ozone,0.048,ppm,44.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,15.0,ug/m3 SC,14.0,,,,,
05/07/2023,261390005,Jenison,PM2.5 - Local Conditions,11.1,ug/m3 LC,55,Jenison,Ozone,0.048,ppm,44.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,18.0,ug/m3 SC,17.0,,,,,
05/08/2023,261390005,Jenison,PM2.5 - Local Conditions,7.1,ug/m3 LC,39,Jenison,Ozone,0.038,ppm,35.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,11.0,ug/m3 SC,10.0,,,,,
05/09/2023,261390005,Jenison,PM2.5 - Local Conditions,6.6,ug/m3 LC,37,Jenison,Ozone,0.044,ppm,41.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,14.0,ug/m3 SC,13.0,,,,,
05/10/2023,261390005,Jenison,PM2.5 - Local Conditions,9.0,ug/m3 LC,50,Jenison,Ozone,0.056,ppm,54.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,22.0,ug/m3 SC,20.0,,,,,
05/11/2023,261390005,Jenison,PM2.5 - Local Conditions,11.0,ug/m3 LC,55,Jenison,Ozone,0.06,ppm,67.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,30.0,ug/m3 SC,28.0,,,,,
05/12/2023,261390005,Jenison,PM2.5 - Local Conditions,13.9,ug/m3 LC,60,Jenison,Ozone,0.053,ppm,49.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,33.0,ug/m3 SC,31.0,,,,,
05/13/2023,261390005,Jenison,PM2.5 - Local Conditions,12.0,ug/m3 LC,56,Jenison,Ozone,0.046,ppm,43.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,25.0,ug/m3 SC,23.0,,,,,
05/14/2023,261390005,Jenison,PM2.5 - Local Conditions,6.5,ug/m3 LC,36,Jenison,Ozone,0.044,ppm,41.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,15.0,ug/m3 SC,14.0,,,,,
05/15/2023,261390005,Jenison,PM2.5 - Local Conditions,5.5,ug/m3 LC,31,Jenison,Ozone,0.049,ppm,45.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,17.0,ug/m3 SC,16.0,,,,,
05/16/2023,261390005,Jenison,PM2.5 - Local Conditions,9.5,ug/m3 LC,52,Jenison,Ozone,0.052,ppm,48.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,28.0,ug/m3 SC,26.0,,,,,
05/17/2023,261390005,Jenison,PM2.5 - Local Conditions,5.2,ug/m3 LC,29,Jenison,Ozone,0.043,ppm,40.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,16.0,ug/m3 SC,15.0,,,,,
05/18/2023,261390005,Jenison,PM2.5 - Local Conditions,7.9,ug/m3 LC,44,Jenison,Ozone,0.048,ppm,44.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,34.0,ug/m3 SC,31.0,,,,,
05/19/2023,261390005,Jenison,PM2.5 - Local Conditions,23.2,ug/m3 LC,77,Jenison,Ozone,0.043,ppm,40.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,41.0,ug/m3 SC,38.0,,,,,
05/20/2023,261390005,Jenison,PM2.5 - Local Conditions,8.2,ug/m3 LC,46,Jenison,Ozone,0.036,ppm,33.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,14.0,ug/m3 SC,13.0,,,,,
05/21/2023,261390005,Jenison,PM2.5 - Local Conditions,9.6,ug/m3 LC,52,Jenison,Ozone,0.047,ppm,44.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,18.0,ug/m3 SC,17.0,,,,,
05/22/2023,261390005,Jenison,PM2.5 - Local Conditions,11.6,ug/m3 LC,56,Jenison,Ozone,0.048,ppm,44.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,32.0,ug/m3 SC,30.0,,,,,
05/23/2023,261390005,Jenison,PM2.5 - Local Conditions,11.3,ug/m3 LC,55,Jenison,Ozone,0.066,ppm,87.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,28.0,ug/m3 SC,26.0,,,,,
05/24/2023,261390005,Jenison,PM2.5 - Local Conditions,13.2,ug/m3 LC,59,Jenison,Ozone,0.042,ppm,39.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,31.0,ug/m3 SC,29.0,,,,,
05/25/2023,261390005,Jenison,PM2.5 - Local Conditions,4.0,ug/m3 LC,22,Jenison,Ozone,0.043,ppm,40.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,14.0,ug/m3 SC,13.0,,,,,
05/26/2023,261390005,Jenison,PM2.5 - Local Conditions,6.1,ug/m3 LC,34,Jenison,Ozone,0.049,ppm,45.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,19.0,ug/m3 SC,18.0,,,,,
05/27/2023,261390005,Jenison,PM2.5 - Local Conditions,9.7,ug/m3 LC,52,Jenison,Ozone,0.059,ppm,64.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,25.0,ug/m3 SC,23.0,,,,,
05/28/2023,261390005,Jenison,PM2.5 - Local Conditions,12.0,ug/m3 LC,56,Jenison,Ozone,0.062,ppm,74.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,26.0,ug/m3 SC,24.0,,,,,
05/29/2023,261390005,Jenison,PM2.5 - Local Conditions,14.0,ug/m3 LC,60,Jenison,Ozone,0.068,ppm,93.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,30.0,ug/m3 SC,28.0,,,,,
05/30/2023,261390005,Jenison,PM2.5 - Local Conditions,12.3,ug/m3 LC,57,Jenison,Ozone,0.064,ppm,80.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,32.0,ug/m3 SC,30.0,,,,,
05/31/2023,261390005,Jenison,PM2.5 - Local Conditions,8.9,ug/m3 LC,49,Jenison,Ozone,0.057,ppm,58.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,25.0,ug/m3 SC,23.0,,,,,
06/01/2023,261390005,Jenison,PM2.5 - Local Conditions,10.4,ug/m3 LC,53,Jenison,Ozone,0.063,ppm,77.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,26.0,ug/m3 SC,24.0,,,,,
06/02/2023,261390005,Jenison,PM2.5 - Local Conditions,12.9,ug/m3 LC,58,Jenison,Ozone,0.075,ppm,115.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,30.0,ug/m3 SC,28.0,,,,,
06/03/2023,261390005,Jenison,PM2.5 - Local Conditions,23.2,ug/m3 LC,77,Jenison,Ozone,0.052,ppm,48.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,35.0,ug/m3 SC,32.0,,,,,
06/04/2023,261390005,Jenison,PM2.5 - Local Conditions,26.1,ug/m3 LC,83,Jenison,Ozone,0.047,ppm,44.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,38.0,ug/m3 SC,35.0,,,,,
06/05/2023,261390005,Jenison,PM2.5 - Local Conditions,22.3,ug/m3 LC,76,Jenison,Ozone,0.06,ppm,67.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,39.0,ug/m3 SC,36.0,,,,,
06/06/2023,261390005,Jenison,PM2.5 - Local Conditions,32.6,ug/m3 LC,95,Jenison,Ozone,0.045,ppm,42.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,47.0,ug/m3 SC,44.0,,,,,
06/07/2023,261390005,Jenison,PM2.5 - Local Conditions,27.4,ug/m3 LC,85,Jenison,Ozone,0.038,ppm,35.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,42.0,ug/m3 SC,39.0,,,,,
06/08/2023,261390005,Jenison,PM2.5 - Local Conditions,40.8,ug/m3 LC,114,Jenison,Ozone,0.035,ppm,32.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,55.0,ug/m3 SC,51.0,,,,,
06/09/2023,261390005,Jenison,PM2.5 - Local Conditions,19.5,ug/m3 LC,70,Jenison,Ozone,0.042,ppm,39.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,31.0,ug/m3 SC,29.0,,,,,
06/10/2023,261390005,Jenison,PM2.5 - Local Conditions,24.0,ug/m3 LC,79,Jenison,Ozone,0.072,ppm,105.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,43.0,ug/m3 SC,40.0,,,,,
06/11/2023,261390005,Jenison,PM2.5 - Local Conditions,13.4,ug/m3 LC,59,Jenison,Ozone,0.027,ppm,25.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,20.0,ug/m3 SC,19.0,,,,,
06/12/2023,261390005,Jenison,PM2.5 - Local Conditions,7.1,ug/m3 LC,39,Jenison,Ozone,0.035,ppm,32.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,13.0,ug/m3 SC,12.0,,,,,
06/13/2023,261390005,Jenison,PM2.5 - Local Conditions,9.0,ug/m3 LC,50,Jenison,Ozone,0.035,ppm,32.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,15.0,ug/m3 SC,14.0,,,,,
06/14/2023,261390005,Jenison,PM2.5 - Local Conditions,7.5,ug/m3 LC,42,Jenison,Ozone,0.034,ppm,31.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,12.0,ug/m3 SC,11.0,,,,,
06/15/2023,261390005,Jenison,PM2.5 - Local Conditions,11.2,ug/m3 LC,55,Jenison,Ozone,0.026,ppm,24.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,18.0,ug/m3 SC,17.0,,,,,
06/16/2023,261390005,Jenison,PM2.5 - Local Conditions,19.6,ug/m3 LC,71,Jenison,Ozone,0.035,ppm,32.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,27.0,ug/m3 SC,25.0,,,,,
06/17/2023,261390005,Jenison,PM2.5 - Local Conditions,25.8,ug/m3 LC,82,Jenison,Ozone,0.046,ppm,43.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,35.0,ug/m3 SC,32.0,,,,,
06/18/2023,261390005,Jenison,PM2.5 - Local Conditions,31.9,ug/m3 LC,93,Jenison,Ozone,0.07,ppm,100.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,43.0,ug/m3 SC,40.0,,,,,
06/19/2023,261390005,Jenison,PM2.5 - Local Conditions,19.0,ug/m3 LC,69,Jenison,Ozone,0.063,ppm,77.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,32.0,ug/m3 SC,30.0,,,,,
06/20/2023,261390005,Jenison,PM2.5 - Local Conditions,21.7,ug/m3 LC,74,Jenison,Ozone,0.061,ppm,71.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,35.0,ug/m3 SC,32.0,,,,,
06/21/2023,261390005,Jenison,PM2.5 - Local Conditions,17.3,ug/m3 LC,66,Jenison,Ozone,0.061,ppm,71.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,31.0,ug/m3 SC,29.0,,,,,
06/22/2023,261390005,Jenison,PM2.5 - Local Conditions,20.7,ug/m3 LC,73,Jenison,Ozone,0.056,ppm,54.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,33.0,ug/m3 SC,31.0,,,,,
06/23/2023,261390005,Jenison,PM2.5 - Local Conditions,11.2,ug/m3 LC,55,Jenison,Ozone,0.052,ppm,48.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,24.0,ug/m3 SC,22.0,,,,,
06/24/2023,261390005,Jenison,PM2.5 - Local Conditions,17.0,ug/m3 LC,66,Jenison,Ozone,0.059,ppm,64.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,29.0,ug/m3 SC,27.0,,,,,
06/25/2023,261390005,Jenison,PM2.5 - Local Conditions,13.6,ug/m3 LC,59,Jenison,Ozone,0.052,ppm,48.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,22.0,ug/m3 SC,20.0,,,,,
06/26/2023,261390005,Jenison,PM2.5 - Local Conditions,37.8,ug/m3 LC,107,Jenison,Ozone,0.036,ppm,33.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,50.0,ug/m3 SC,46.0,,,,,
06/27/2023,261390005,Jenison,PM2.5 - Local Conditions,151.7,ug/m3 LC,227,Jenison,Ozone,0.039,ppm,36.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,221.0,ug/m3 SC,134.0,,,,,
06/28/2023,261390005,Jenison,PM2.5 - Local Conditions,118.8,ug/m3 LC,195,Jenison,Ozone,0.065,ppm,84.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,178.0,ug/m3 SC,112.0,,,,,
06/29/2023,261390005,Jenison,PM2.5 - Local Conditions,87.3,ug/m3 LC,173,Jenison,Ozone,0.073,ppm,108.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,129.0,ug/m3 SC,88.0,,,,,
06/30/2023,261390005,Jenison,PM2.5 - Local Conditions,31.2,ug/m3 LC,92,Jenison,Ozone,0.069,ppm,97.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,47.0,ug/m3 SC,44.0,,,,,
07/01/2023,261390005,Jenison,PM2.5 - Local Conditions,28.2,ug/m3 LC,87,Jenison,Ozone,0.059,ppm,64.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,44.0,ug/m3 SC,41.0,,,,,
07/02/2023,261390005,Jenison,PM2.5 - Local Conditions,16.7,ug/m3 LC,65,Jenison,Ozone,0.039,ppm,36.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,26.0,ug/m3 SC,24.0,,,,,
07/03/2023,261390005,Jenison,PM2.5 - Local Conditions,15.8,ug/m3 LC,63,,,,,,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,25.0,ug/m3 SC,23.0,,,,,
07/04/2023,261390005,Jenison,PM2.5 - Local Conditions,20.4,ug/m3 LC,72,Jenison,Ozone,0.064,ppm,80.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,29.0,ug/m3 SC,27.0,,,,,
07/05/2023,261390005,Jenison,PM2.5 - Local Conditions,19.7,ug/m3 LC,71,Jenison,Ozone,0.064,ppm,80.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,29.0,ug/m3 SC,27.0,,,,,
07/06/2023,261390005,Jenison,PM2.5 - Local Conditions,11.1,ug/m3 LC,55,Jenison,Ozone,0.043,ppm,40.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,18.0,ug/m3 SC,17.0,,,,,
07/07/2023,261390005,Jenison,PM2.5 - Local Conditions,9.7,ug/m3 LC,52,Jenison,Ozone,0.048,ppm,44.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,17.0,ug/m3 SC,16.0,,,,,
07/08/2023,261390005,Jenison,PM2.5 - Local Conditions,7.9,ug/m3 LC,44,Jenison,Ozone,0.045,ppm,42.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,13.0,ug/m3 SC,12.0,,,,,
07/09/2023,261390005,Jenison,PM2.5 - Local Conditions,9.9,ug/m3 LC,52,Jenison,Ozone,0.058,ppm,61.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,16.0,ug/m3 SC,15.0,,,,,
07/10/2023,261390005,Jenison,PM2.5 - Local Conditions,11.3,ug/m3 LC,55,Jenison,Ozone,0.067,ppm,90.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,25.0,ug/m3 SC,23.0,,,,,
07/11/2023,261390005,Jenison,PM2.5 - Local Conditions,8.3,ug/m3 LC,46,Jenison,Ozone,0.047,ppm,44.0,,,,,,,,,,,,,,,,,,Jenison,PM10 Total 0-10um STP,16.0,ug/m3 SC,15.0,,,,,
