"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/24/2023","AQS","260050003","1","10.3","ug/m3 LC","53","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/25/2023","AQS","260050003","1","12.8","ug/m3 LC","58","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/26/2023","AQS","260050003","1","2.1","ug/m3 LC","12","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/27/2023","AQS","260050003","1","4.4","ug/m3 LC","24","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/28/2023","AQS","260050003","1","4.6","ug/m3 LC","26","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/29/2023","AQS","260050003","1","3","ug/m3 LC","17","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/30/2023","AQS","260050003","1","1.5","ug/m3 LC","8","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/31/2023","AQS","260050003","1","4.3","ug/m3 LC","24","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/01/2023","AQS","260050003","1","5","ug/m3 LC","28","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/02/2023","AQS","260050003","1","5.1","ug/m3 LC","28","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/03/2023","AQS","260050003","1","1","ug/m3 LC","6","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/04/2023","AQS","260050003","1","5.5","ug/m3 LC","31","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/05/2023","AQS","260050003","1","5.8","ug/m3 LC","32","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/06/2023","AQS","260050003","1","4.5","ug/m3 LC","25","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/07/2023","AQS","260050003","1","6.7","ug/m3 LC","37","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/08/2023","AQS","260050003","1","7.6","ug/m3 LC","42","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/09/2023","AQS","260050003","1","7.1","ug/m3 LC","39","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/10/2023","AQS","260050003","1","2.9","ug/m3 LC","16","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/11/2023","AQS","260050003","1","2.9","ug/m3 LC","16","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/12/2023","AQS","260050003","1","4.6","ug/m3 LC","26","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/13/2023","AQS","260050003","1","7.2","ug/m3 LC","40","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/14/2023","AQS","260050003","1","6.8","ug/m3 LC","38","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/15/2023","AQS","260050003","1","1.6","ug/m3 LC","9","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
