"Date","Source","Site ID","POC","Daily Mean Pb Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"06/29/2023","AQS","260670003","1","0.003","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"07/05/2023","AQS","260670003","1","0.003","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"07/11/2023","AQS","260670003","1","0.008","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"07/17/2023","AQS","260670003","1","0.024","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"07/23/2023","AQS","260670003","1","0.002","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"07/29/2023","AQS","260670003","1","0.001","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"08/04/2023","AQS","260670003","1","0.008","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"08/10/2023","AQS","260670003","1","0.089","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"08/16/2023","AQS","260670003","1","0.014","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"08/22/2023","AQS","260670003","1","0.005","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"09/03/2023","AQS","260670003","1","0.013","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"09/09/2023","AQS","260670003","1","0.002","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"09/15/2023","AQS","260670003","1","0.018","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"09/21/2023","AQS","260670003","1","0.008","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"09/27/2023","AQS","260670003","1","0.002","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"10/03/2023","AQS","260670003","1","0.003","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"10/09/2023","AQS","260670003","1","0.002","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"10/15/2023","AQS","260670003","1","0.001","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"10/21/2023","AQS","260670003","1","0","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"10/27/2023","AQS","260670003","1","0.001","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"11/02/2023","AQS","260670003","1","0.001","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"11/08/2023","AQS","260670003","1","0.001","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"11/14/2023","AQS","260670003","1","0.003","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"11/20/2023","AQS","260670003","1","0.001","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"11/26/2023","AQS","260670003","1","0.003","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"12/02/2023","AQS","260670003","1","0","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"12/08/2023","AQS","260670003","1","0.002","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"12/14/2023","AQS","260670003","1","0.004","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"12/20/2023","AQS","260670003","1","0.002","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"12/26/2023","AQS","260670003","1","0","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"01/06/2023","AQS","261470031","1","0.001","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"01/12/2023","AQS","261470031","1","0.005","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"01/18/2023","AQS","261470031","1","0.002","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"01/24/2023","AQS","261470031","1","0.03","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"01/30/2023","AQS","261470031","1","0.002","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"02/05/2023","AQS","261470031","1","0.009","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"02/11/2023","AQS","261470031","1","0.017","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"02/17/2023","AQS","261470031","1","0.004","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"02/23/2023","AQS","261470031","1","0.003","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"03/01/2023","AQS","261470031","1","0.001","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"03/07/2023","AQS","261470031","1","0.001","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"03/13/2023","AQS","261470031","1","0.001","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
